Date,HomeTeam,AwayTeam,FTHG,FTAG
2024-09-29,Varnamo,Djurgarden,1,1
2024-09-29,Hacken,Sirius,2,0
2024-09-29,Kalmar,Elfsborg,1,3
2024-09-29,Malmo FF,Mjallby,2,0
2024-09-30,Brommapojkarna,Vasteras SK,2,1
2024-09-30,Goteborg,GAIS,2,0
2024-10-03,Norrkoping,Sirius,0,2
2024-10-05,Hammarby,Halmstad,1,0
2024-10-05,Mjallby,Vasteras SK,2,1
2024-10-05,Brommapojkarna,GAIS,2,0
2024-10-06,AIK,Hacken,0,2
2024-10-06,Djurgarden,Kalmar,1,1
2024-10-06,Malmo FF,Varnamo,1,1
2024-10-06,Norrkoping,Goteborg,0,2
2024-10-06,Sirius,Elfsborg,4,1
2024-10-19,Elfsborg,Hacken,1,3
2024-10-19,Vasteras SK,Malmo FF,1,1
2024-10-19,Halmstad,Sirius,3,1
2024-10-20,Kalmar,Mjallby,0,3
2024-10-20,GAIS,Varnamo,0,0
2024-10-21,Hammarby,Djurgarden,2,0
2024-10-21,Norrkoping,Brommapojkarna,1,1
2024-10-21,Goteborg,AIK,1,2
2024-10-26,Mjallby,GAIS,1,1
2024-10-26,Sirius,Hammarby,0,3
2024-10-26,Brommapojkarna,Kalmar,1,2
2024-10-27,AIK,Elfsborg,2,1
2024-10-27,Varnamo,Norrkoping,1,2
2024-10-27,Hacken,Halmstad,0,1
2024-10-28,Djurgarden,Vasteras SK,2,1
2024-10-28,Malmo FF,Goteborg,2,1
2024-11-02,Elfsborg,Vasteras SK,1,0
2024-11-02,Hammarby,Malmo FF,2,2
2024-11-02,Goteborg,Kalmar,1,1
2024-11-03,Brommapojkarna,Varnamo,0,1
2024-11-03,Hacken,GAIS,1,2
2024-11-03,Halmstad,Djurgarden,1,0
2024-11-03,Sirius,Mjallby,1,1
2024-11-04,Norrkoping,AIK,1,0
2024-11-10,AIK,Halmstad,5,1
2024-11-10,Djurgarden,Norrkoping,3,1
2024-11-10,GAIS,Sirius,2,1
2024-11-10,Kalmar,Hacken,1,0
2024-11-10,Malmo FF,Brommapojkarna,2,1
2024-11-10,Mjallby,Goteborg,1,0
2024-11-10,Varnamo,Elfsborg,0,0
2024-11-10,Vasteras SK,Hammarby,1,0
2024-11-21,Landskrona,Varnamo,2,2
2024-11-24,Varnamo,Landskrona,1,0
2025-03-29,Djurgarden,Malmo FF,0,1
2025-03-29,Hacken,Brommapojkarna,2,0
2025-03-30,Elfsborg,Mjallby,2,2
2025-03-30,Hammarby,Goteborg,4,0
2025-03-30,Halmstad,Degerfors,0,5
2025-03-30,Norrkoping,Oster,4,3
2025-03-31,Varnamo,Sirius,1,2
2025-03-31,GAIS,AIK,0,1
2025-04-05,Goteborg,Halmstad,1,0
2025-04-05,Sirius,Djurgarden,0,1
2025-04-05,Oster,Hacken,2,0
2025-04-06,AIK,Norrkoping,4,3
2025-04-06,Brommapojkarna,Hammarby,0,2
2025-04-06,Degerfors,Varnamo,1,0
2025-04-06,Mjallby,GAIS,1,1
2025-04-07,Malmo FF,Elfsborg,2,1
2025-04-12,Hacken,Mjallby,0,3
2025-04-12,Elfsborg,Norrkoping,2,0
2025-04-13,Hammarby,Djurgarden,2,0
2025-04-13,Varnamo,Goteborg,0,1
2025-04-13,GAIS,Degerfors,2,0
2025-04-13,Sirius,Brommapojkarna,0,3
2025-04-14,Halmstad,Oster,1,0
2025-04-14,AIK,Malmo FF,0,0
2025-04-18,Malmo FF,Sirius,1,1
2025-04-18,Mjallby,Hammarby,3,1
2025-04-19,Degerfors,Elfsborg,0,1
2025-04-19,Norrkoping,Halmstad,3,0
2025-04-20,Brommapojkarna,Varnamo,3,2
2025-04-20,Oster,AIK,0,1
2025-04-20,Goteborg,Hacken,2,3
2025-04-21,Djurgarden,GAIS,0,0
2025-04-23,Elfsborg,Sirius,4,3
2025-04-23,Hacken,Degerfors,3,4
2025-04-23,Halmstad,Mjallby,1,3
2025-04-23,Hammarby,Malmo FF,2,0
2025-04-24,Djurgarden,Oster,1,0
2025-04-24,GAIS,Brommapojkarna,1,1
2025-04-24,Norrkoping,Goteborg,2,3
2025-04-24,Varnamo,AIK,1,2
2025-04-27,Hacken,Hammarby,1,1
2025-04-27,Mjallby,Degerfors,4,1
2025-04-27,AIK,Elfsborg,2,0
2025-04-27,Sirius,Halmstad,1,1
2025-04-27,Varnamo,Norrkoping,1,3
2025-04-28,Goteborg,GAIS,1,1
2025-04-29,Malmo FF,Oster,2,0
2025-05-03,Degerfors,Sirius,1,1
2025-05-03,Halmstad,Varnamo,4,2
2025-05-04,Djurgarden,AIK,1,1
2025-05-04,Norrkoping,Hacken,0,2
2025-05-04,Mjallby,Goteborg,1,0
2025-05-04,Oster,Hammarby,0,3
2025-05-05,Malmo FF,Brommapojkarna,1,2
2025-05-05,Elfsborg,GAIS,2,0
2025-05-10,Brommapojkarna,Halmstad,0,1
2025-05-10,GAIS,Varnamo,1,1
2025-05-10,Sirius,Hacken,2,0
2025-05-11,AIK,Mjallby,2,1
2025-05-11,Hammarby,Norrkoping,1,1
2025-05-11,Degerfors,Malmo FF,1,4
2025-05-11,Oster,Elfsborg,0,1
2025-05-12,Goteborg,Djurgarden,1,2
2025-05-14,Hacken,AIK,3,3
2025-05-14,Halmstad,GAIS,1,3
2025-05-14,Hammarby,Sirius,3,2
2025-05-15,Djurgarden,Mjallby,1,3
2025-05-15,Elfsborg,Brommapojkarna,4,3
2025-05-15,Goteborg,Oster,0,1
2025-05-15,Norrkoping,Degerfors,1,2
2025-05-15,Varnamo,Malmo FF,2,2
2025-05-18,AIK,Hammarby,0,0
2025-05-18,Hacken,Varnamo,2,0
2025-05-18,Malmo FF,Halmstad,3,0
2025-05-18,Oster,GAIS,1,1
2025-05-19,Degerfors,Goteborg,1,3
2025-05-19,Mjallby,Brommapojkarna,1,0
2025-05-19,Sirius,Norrkoping,1,2
2025-05-19,Elfsborg,Djurgarden,4,0
2025-05-22,Hammarby,Mjallby,1,2
2025-05-22,Malmo FF,AIK,0,0
2025-05-24,Varnamo,Oster,1,1
2025-05-24,GAIS,Sirius,2,1
2025-05-25,Goteborg,Malmo FF,1,0
2025-05-25,Halmstad,Elfsborg,1,4
2025-05-25,Brommapojkarna,AIK,0,1
2025-05-25,Djurgarden,Hacken,1,1
2025-05-26,Norrkoping,Mjallby,1,1
2025-05-26,Hammarby,Degerfors,1,0
2025-05-29,Brommapojkarna,Djurgarden,0,1
2025-05-31,Degerfors,Oster,1,2
2025-05-31,Elfsborg,Hammarby,0,2
2025-05-31,Norrkoping,GAIS,0,3
2025-06-01,Brommapojkarna,Goteborg,1,3
2025-06-01,Halmstad,Djurgarden,1,0
2025-06-01,Malmo FF,Hacken,3,0
2025-06-01,Mjallby,Varnamo,2,0
2025-06-01,Sirius,AIK,3,1
2025-06-28,Hammarby,Halmstad,2,0
2025-06-28,Oster,Sirius,2,2
2025-06-29,AIK,Goteborg,3,0
2025-06-29,Degerfors,Brommapojkarna,0,3
2025-06-29,Hacken,GAIS,1,3
2025-06-29,Varnamo,Elfsborg,0,0
2025-06-30,Djurgarden,Norrkoping,1,1
2025-06-30,Mjallby,Malmo FF,1,1
2025-07-05,GAIS,Malmo FF,0,0
2025-07-05,Oster,Mjallby,0,1
2025-07-05,Hammarby,Varnamo,1,0
2025-07-06,Goteborg,Sirius,3,1
2025-07-06,Halmstad,AIK,2,0
2025-07-06,Djurgarden,Degerfors,5,1
2025-07-06,Elfsborg,Hacken,0,2
2025-07-07,Norrkoping,Brommapojkarna,0,1
